Branch,examples
"IC CS-IoT, Cyber Security","[{'College_Code': 'E151', 'College_Name': 'Mangalore Institute of Technology and Engineering Mangalore Tq,D.K'}, {'College_Code': 'E153', 'College_Name': 'S E A College of Engineering and Technology K R puram bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}, {'College_Code': 'E012', 'College_Name': 'Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,'}]"
"IC IoT, Cyber Security","[{'College_Code': 'E153', 'College_Name': 'S E A College of Engineering and Technology K R puram bangalore'}]"
IE Info.Science,"[{'College_Code': 'E001', 'College_Name': 'University Visveswariah College of Engineering Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}]"
IG Information Technology,"[{'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}]"
II EC -Industrial Integrated,"[{'College_Code': 'E241', 'College_Name': 'KLE Technological University(Formerly BVBCET) Dharward Dist'}]"
IM Ind. Engg. Mgmt.,"[{'College_Code': 'E003', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}, {'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}]"
IO CS- Internet of Things,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E255', 'College_Name': 'Gitam School Of Technology BANGALORE RURAL DIST'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}, {'College_Code': 'E012', 'College_Name': 'Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,'}, {'College_Code': 'E048', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}]"
IP Ind.Prodn.,"[{'College_Code': 'E021', 'College_Name': 'JSS Science and Technology University(Formerly SJCE) Mysore'}, {'College_Code': 'E022', 'College_Name': 'The National Institute of Engineering Mysore'}, {'College_Code': 'E023', 'College_Name': 'P E S College of Engineering Mandya'}, {'College_Code': 'E031', 'College_Name': 'Basaveshwara Engineering College Bagalkot'}, {'College_Code': 'E041', 'College_Name': 'P D A College of Engineering Gulbarga'}]"
IS Information Sc. and Tech.,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
IY CS-IT-Cyber Security,"[{'College_Code': 'E288', 'College_Name': 'Garden City University Bangalore'}]"
IZ INFORMATION SCIENCE,"[{'College_Code': 'E288', 'College_Name': 'Garden City University Bangalore'}]"
LA B Plan,"[{'College_Code': 'E263', 'College_Name': 'School of Planning and Architecture Mysore'}]"
LC CS- Block Chain,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
LD B Tech in DS,"[{'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
LE B Tech in AIML,"[{'College_Code': 'E302', 'College_Name': 'AMITY UNIVERSITY DEVANAHALLI ,BANAGLORE'}, {'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
LF B Tech in CC,"[{'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
LG B Tech in CS,"[{'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
LH B Tech in IS,"[{'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
LJ B Tech in BS,"[{'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
LK B Tech in IOT,"[{'College_Code': 'E302', 'College_Name': 'AMITY UNIVERSITY DEVANAHALLI ,BANAGLORE'}, {'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
MC Mathamatics and Computing,"[{'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}]"
MC Mathematics and Computing,"[{'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}, {'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences  Bangalore'}]"
MD Med.Elect.,"[{'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E017', 'College_Name': 'Sri Siddartha Institute of Technology Tumkur'}, {'College_Code': 'E048', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}, {'College_Code': 'E060', 'College_Name': 'Dr. Ambedkar Institute Of Technology Jnanabharathi Campus,Bangalore'}]"
ME Mechanical,"[{'College_Code': 'E001', 'College_Name': 'University Visveswariah College of Engineering Bangalore'}, {'College_Code': 'E003', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}, {'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}]"
MI Mining Engineering,"[{'College_Code': 'E015', 'College_Name': 'Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District'}]"
MK Mechanical Engg (Kannada),"[{'College_Code': 'E158', 'College_Name': 'Maharaja Institute of Technology-Mysore Belawadi, Mandya Dist'}]"
"MM Mechanical, Smart Manf.","[{'College_Code': 'E278', 'College_Name': 'Visvesvaraya Technological University Muddenahalli,Chickkaballapur'}, {'College_Code': 'E157', 'College_Name': 'Government Engineering College Ramanagara'}]"
MN Mining,"[{'College_Code': 'E015', 'College_Name': 'Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District'}]"
MN Mining Engineering,"[{'College_Code': 'E015', 'College_Name': 'Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District'}]"
MR Marine Engineering,"[{'College_Code': 'E144', 'College_Name': 'Srinivas Institute of Technology Mangalore.'}]"
MT Mechatronics,"[{'College_Code': 'E078', 'College_Name': 'The Oxford College of Engineering Bangalore'}, {'College_Code': 'E079', 'College_Name': 'Acharya Institute of Technology Bangalore'}, {'College_Code': 'E095', 'College_Name': 'AMC Engineering College Bangalore'}, {'College_Code': 'E151', 'College_Name': 'Mangalore Institute of Technology and Engineering Mangalore Tq,D.K'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
OP Comp. Sc. Engg- Dev Ops,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
OT Industrial IOT,"[{'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E029', 'College_Name': 'Maratha Mandal Engineering College Belgaum'}]"
PL Petroleum Engineering,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
PT Polymer Tech.,"[{'College_Code': 'E021', 'College_Name': 'JSS Science and Technology University(Formerly SJCE) Mysore'}, {'College_Code': 'E021', 'College_Name': 'Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore'}, {'College_Code': 'E018', 'College_Name': 'Kalpatharu Institute of Technology Tiptur'}]"
RA Robotics and Automation,"[{'College_Code': 'E082', 'College_Name': 'J S S Academy of Technical Education Bangalore'}, {'College_Code': 'E114', 'College_Name': 'G M Institute of Technology Davanagere'}, {'College_Code': 'E145', 'College_Name': 'Rajarajeswari College of Engineering Kumbalagodu,Bangalore'}, {'College_Code': 'E160', 'College_Name': 'Sahyadri College of Engg. and Management Mangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
RB Robotics,"[{'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}, {'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences  Bangalore'}]"
RI Robotics and AI,"[{'College_Code': 'E029', 'College_Name': 'Maratha Mandal Engineering College Belgaum'}, {'College_Code': 'E044', 'College_Name': 'Bheemanna Khandre Institute of Technology Bhalki'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}, {'College_Code': 'E065', 'College_Name': 'Jawaharlal Nehru National College of Engineering Shimoga'}, {'College_Code': 'E204', 'College_Name': 'Bangalore Technological Institute Sarjapura Rd, Bangalore'}]"
RM CS-RO Engg-AI and ML,"[{'College_Code': 'E288', 'College_Name': 'Garden City University Bangalore'}]"
RO Auto. And Robot.,"[{'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}, {'College_Code': 'E241', 'College_Name': 'KLE Technological University(Formerly BVBCET) Dharward Dist'}, {'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}, {'College_Code': 'E139', 'College_Name': 'Impact College of Engineering and Applied Sciences Bangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
SA Smart Agritech,"[{'College_Code': 'E191', 'College_Name': 'Akshaya Institute of Technology Tumkur'}]"
SE Aero Space Engg.,"[{'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E014', 'College_Name': 'S J C Institute of Technology Chickballapur'}, {'College_Code': 'E048', 'College_Name': 'B M S College of Engineering Basavanagudi,Bangalore'}, {'College_Code': 'E186', 'College_Name': 'ACS College of Engineering Kengeri Hobli,Bangalore'}]"
SS CS and System Engg,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
ST Silk Tech.,"[{'College_Code': 'E002', 'College_Name': 'S K S J T Institute of Engineering. Bangalore'}]"
TC Telecommn.,"[{'College_Code': 'E004', 'College_Name': 'Dr. Ambedkar Institute Of Technology Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E012', 'College_Name': 'Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,'}, {'College_Code': 'E016', 'College_Name': 'Siddaganga Institute of Technology Tumkur'}]"
TI Industrial IoT,"[{'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}]"
TX Textiles,"[{'College_Code': 'E002', 'College_Name': 'S K S J T Institute of Engineering. Bangalore'}, {'College_Code': 'E032', 'College_Name': 'R.T.E Socity`s Rural Engineering College Hulkoti'}, {'College_Code': 'E062', 'College_Name': 'Bapuji Institute of Engineering and Technology Davangere'}, {'College_Code': 'E061', 'College_Name': 'University B.D.T. college of Engineering Davangere'}]"
UP Planning,"[{'College_Code': 'E260', 'College_Name': 'Nitte School of Architecture YELAHANKA BANGALORE'}, {'College_Code': 'E263', 'College_Name': 'School of Planning and Architecture Mysore'}]"
UR Planning,"[{'College_Code': 'E260', 'College_Name': 'Nitte School of Architecture YELAHANKA BANGALORE'}]"
YA B.TEHIN COM.SCE.ENG(ROBO),"[{'College_Code': 'E302', 'College_Name': 'AMITY UNIVERSITY DEVANAHALLI ,BANAGLORE'}]"
YB B.TECH IN CS.ENG(DAT ANA),"[{'College_Code': 'E302', 'College_Name': 'AMITY UNIVERSITY DEVANAHALLI ,BANAGLORE'}]"
YC B.TECH IN EMD. SYS. VLSI,"[{'College_Code': 'E302', 'College_Name': 'AMITY UNIVERSITY DEVANAHALLI ,BANAGLORE'}]"
YD B.TECH IN CS AND ARTI INT,"[{'College_Code': 'E306', 'College_Name': 'THE CHANAKYA UNIVERSITY HARALUR ROAD DEVANHALLI'}]"
YE B.TECH IN CIV.CONST.SUST.,"[{'College_Code': 'E306', 'College_Name': 'THE CHANAKYA UNIVERSITY HARALUR ROAD DEVANHALLI'}]"
YF B.TECH IN ELECT ENGG. CS.,"[{'College_Code': 'E306', 'College_Name': 'THE CHANAKYA UNIVERSITY HARALUR ROAD DEVANHALLI'}]"
YG B.TECH IN EC.ENG.VSLI EMD,"[{'College_Code': 'E306', 'College_Name': 'THE CHANAKYA UNIVERSITY HARALUR ROAD DEVANHALLI'}]"
YH ENGINEERING DESIGN,"[{'College_Code': 'E303', 'College_Name': 'G M UNIVERSITY KARUR VILLAGE, DAVANGERE'}]"
YI B.TECH IN MECHANICAL,"[{'College_Code': 'E306', 'College_Name': 'THE CHANAKYA UNIVERSITY HARALUR ROAD DEVANHALLI'}]"
ZA B TECH IN AERONAUT. ENGG.,"[{'College_Code': 'E278', 'College_Name': 'Visvesvaraya Technological University Muddenahalli,Chickkaballapur'}]"
ZC CSC,"[{'College_Code': 'E093', 'College_Name': 'Basavakalyana Engineering College Basavakalyana, Bidar-Dist'}, {'College_Code': 'E081', 'College_Name': 'H M S Institute of Technology Tumkur'}, {'College_Code': 'E288', 'College_Name': 'Garden City University Bangalore'}]"
ZH B TECH IN COMP.SC.ART.INT,"[{'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Kanakapura road, Ramanagar'}]"
ZL CIVIL ENG. WITH COMP.APPL,"[{'College_Code': 'E255', 'College_Name': 'Gandhi Institute of Technology and MNGT.,Gitam off Campus BANGALORE RURAL DIST'}]"
ZM B.TECH IN COMP.SCI. DESI.,"[{'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}]"
ZN B.TECH IN PHARM. ENGG.,"[{'College_Code': 'E301', 'College_Name': 'KISHKINDA UNIVERSITY BELLARI'}]"
ZO B.TECH IN CS.AND BUSI.SYS,"[{'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}]"
ZQ B.TECH IN IN.TCH.DAT.ANAL,"[{'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}]"
ZR COMP.SCE.AND ENG(ART.INT),"[{'College_Code': 'E108', 'College_Name': 'Sapthagiri NPS College of Engineering Bangalore'}]"
ZT B.TECH. IN MECH.SMAR.MANU,"[{'College_Code': 'E278', 'College_Name': 'Visvesvaraya Technological University Muddenahalli,Chickkaballapur'}]"
ZU CYBER SECURITY,"[{'College_Code': 'E130', 'College_Name': 'Shridevi Institute of Engineering and Technology Tumkur'}]"
ZV B.TECH.IN INF.TEC.AUG.REA,"[{'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}]"
ZW COMP. SCE. AND ENG (AIML),"[{'College_Code': 'E308', 'College_Name': 'CONSTITUENT COLLEGE OF VTU CHINTAMANI, CHIKABALLPURA'}, {'College_Code': 'E309', 'College_Name': 'CONSTITUENT COLLEGE OF VTU, (H.GOV) CHINTAMANI, CHIKABALLPURA'}]"
mn Mining Engineering,"[{'College_Code': 'E015', 'College_Name': 'Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District'}]"
